lat,lon,Rrs_531
-13.47917,-176.52083,0.0028600022
-13.47917,-176.47917,0.0029040016
-13.47917,-176.4375,0.0028220005
-13.47917,-176.39583,0.002534002
-13.47917,-176.35417,0.0024400018
-13.47917,-176.3125,0.0024220012
-13.47917,-176.27083,0.0024360009
-13.47917,-176.22917,0.0024840012
-13.47917,-176.1875,0.0024820007
-13.47917,-176.14583,0.0025000013
-13.47917,-176.10417,0.0025079995
-13.47917,-176.0625,0.0025219992
-13.47917,-176.02083,0.0025020018
-13.47917,-175.97917,0.0024360009
-13.47917,-175.9375,0.0023660026
-13.47917,-175.89583,0.0022680014
-13.47917,-175.85417,0.0023140013
-13.47917,-175.8125,0.002332002
-13.47917,-175.77083,0.002332002
-13.47917,-175.72917,0.0023120008
-13.47917,-175.6875,0.0022680014
-13.47917,-175.64583,0.0022180006
-13.47917,-175.60417,0.0025640018
-13.47917,-175.5625,0.0027099997
-13.47917,-175.52083,0.0025320016
-13.47917,-175.47917,0.0022100024
-13.47917,-175.4375,0.002142001
-13.47917,-175.39583,0.0022739992
-13.47917,-175.35417,0.0023740008
-13.47917,-175.3125,0.0027980022
-13.47917,-175.27083,0.0028260015
-13.47917,-175.22917,0.0025620013
-13.47917,-175.1875,0.0024779998
-13.47917,-175.14583,0.0024599992
-13.47917,-175.10417,0.0025020018
-13.47917,-175.0625,0.0029040016
-13.47917,-175.02083,0.0025900006
-13.47917,-174.97917,0.0028600022
-13.47917,-174.9375,0.0032219999
-13.47917,-174.89583,0.0031899996
-13.47917,-174.85417,0.0031680018
-13.47917,-174.8125,0.0031940006
-13.47917,-174.77083,0.0032720007
-13.47917,-174.72917,0.0033380017
-13.47917,-174.5625,0.0030460022
-13.47917,-174.52083,0.002870001
-13.47917,-174.47917,0.002634
-13.47917,-174.4375,0.002870001
-13.47917,-174.39583,0.0027640015
-13.47917,-174.35417,0.002691999
-13.47917,-174.3125,0.0026600026
-13.47917,-174.27083,0.0026440024
-13.47917,-174.22917,0.0025980026
-13.47917,-174.1875,0.002494
-13.47917,-174.14583,0.0023679994
-13.47917,-174.10417,0.0023260005
-13.520837,-176.85417,0.0027940013
-13.520837,-176.8125,0.0026400015
-13.520837,-176.77083,0.0024580024
-13.520837,-176.72917,0.002432
-13.520837,-176.6875,0.002530001
-13.520837,-176.64583,0.002448
-13.520837,-176.60417,0.0024860017
-13.520837,-176.5625,0.002882
-13.520837,-176.52083,0.003118001
-13.520837,-176.47917,0.0029600002
-13.520837,-176.4375,0.0027259998
-13.520837,-176.39583,0.002494
-13.520837,-176.35417,0.002432
-13.520837,-176.3125,0.0024340004
-13.520837,-176.27083,0.0024340004
-13.520837,-176.22917,0.002456002
-13.520837,-176.1875,0.002410002
-13.520837,-176.14583,0.002410002
-13.520837,-176.10417,0.0024400018
-13.520837,-176.0625,0.0024400018
-13.520837,-176.02083,0.0025440007
-13.520837,-175.97917,0.0026500002
-13.520837,-175.9375,0.0024139993
-13.520837,-175.89583,0.0024860017
-13.520837,-175.85417,0.0023539998
-13.520837,-175.8125,0.0023600012
-13.520837,-175.77083,0.002381999
-13.520837,-175.72917,0.0023720004
-13.520837,-175.6875,0.0023519993
-13.520837,-175.64583,0.0022940002
-13.520837,-175.60417,0.0025839992
-13.520837,-175.5625,0.002567999
-13.520837,-175.52083,0.0027480014
-13.520837,-175.47917,0.0023979992
-13.520837,-175.4375,0.0024619997
-13.520837,-175.39583,0.0023760013
-13.520837,-175.35417,0.0024260022
-13.520837,-175.3125,0.002443999
-13.520837,-175.27083,0.002448
-13.520837,-175.22917,0.0027859993
-13.520837,-175.1875,0.002629999
-13.520837,-175.14583,0.0026240014
-13.520837,-175.10417,0.0025740005
-13.520837,-175.0625,0.0026019998
-13.520837,-175.02083,0.0026900023
-13.520837,-174.97917,0.0029360019
-13.520837,-174.9375,0.0035540015
