lat,lon,bb_645,normalized
47.1875,-85.14583,0.0017800033,0.37800033
47.1875,-85.104164,0.0017750114,0.37750114
47.1875,-85.0625,0.0017800033,0.37800033
47.1875,-85.02083,0.0018000007,0.38000007
47.1875,-84.979164,0.0018350035,0.38350035000000005
47.1875,-84.9375,0.0018950105,0.38950105
47.1875,-84.89583,0.0020700097,0.4001458535416667
47.1875,-84.854164,0.0021150112,0.4002396066666667
47.1875,-84.8125,0.0021450073,0.4003020985416667
47.1875,-84.77083,0.0022650063,0.40055209645833334
47.1875,-84.729164,0.0022950023,0.400614588125
47.1875,-84.6875,0.002455011,0.40094793958333336
47.1875,-84.64583,0.002455011,0.40094793958333336
47.145832,-85.604164,0.0018950105,0.38950105
47.145832,-85.5625,0.0018900037,0.38900037
47.145832,-85.52083,0.0019000024,0.39000024
47.145832,-85.479164,0.0019000024,0.39000024
47.145832,-85.4375,0.0018700063,0.38700063
47.145832,-85.39583,0.0018649995,0.38649995000000004
47.145832,-85.354164,0.0018550009,0.38550009
47.145832,-85.3125,0.0018350035,0.38350035000000005
47.145832,-85.27083,0.0018250048,0.38250048000000003
47.145832,-85.229164,0.0018150061,0.38150061
47.145832,-85.1875,0.0018099993,0.38099993
47.145832,-85.14583,0.0017750114,0.37750114
47.145832,-85.104164,0.0017800033,0.37800033
47.145832,-85.0625,0.0017950088,0.37950088000000004
47.145832,-85.02083,0.0018299967,0.38299967
47.145832,-84.979164,0.0018700063,0.38700063
47.145832,-84.9375,0.0019199997,0.39199997000000003
47.145832,-84.89583,0.0021350086,0.4002812679166667
47.145832,-84.854164,0.002155006,0.4003229291666667
47.145832,-84.8125,0.0021750033,0.40036459020833337
47.145832,-84.77083,0.0024950057,0.40103126187500004
47.145832,-84.729164,0.0024700016,0.40097917
47.145832,-84.6875,0.0016350001,0.36350001000000004
47.104164,-85.729164,0.0018700063,0.38700063
47.104164,-85.6875,0.0018749982,0.38749982000000005
47.104164,-85.64583,0.0018900037,0.38900037
47.104164,-85.604164,0.0019000024,0.39000024
47.104164,-85.5625,0.001910001,0.3910001
47.104164,-85.52083,0.0019199997,0.39199997000000003
47.104164,-85.479164,0.001910001,0.3910001
47.104164,-85.4375,0.0019050092,0.39050092000000003
47.104164,-85.39583,0.0019050092,0.39050092000000003
47.104164,-85.354164,0.0018849969,0.38849969
47.104164,-85.3125,0.0018749982,0.38749982000000005
47.104164,-85.27083,0.0018550009,0.38550009
47.104164,-85.229164,0.001850009,0.38500090000000003
47.104164,-85.1875,0.0018400103,0.38400103
47.104164,-85.14583,0.001819998,0.3819998
47.104164,-85.104164,0.0017950088,0.37950088000000004
47.104164,-85.0625,0.0018000007,0.38000007
47.104164,-85.02083,0.001819998,0.3819998
47.104164,-84.979164,0.0019000024,0.39000024
47.104164,-84.9375,0.0019650012,0.39650012
47.104164,-84.89583,0.0020550042,0.40011459208333333
47.104164,-84.854164,0.002120003,0.40025000625
47.104164,-84.8125,0.0021750033,0.40036459020833337
47.104164,-84.77083,0.0022599995,0.40054166562500004
47.104164,-84.729164,0.0025850087,0.401218768125
47.104164,-84.6875,0.0025850087,0.401218768125
47.0625,-85.854164,0.0019250065,0.39250065
47.0625,-85.8125,0.0019000024,0.39000024
47.0625,-85.77083,0.0018749982,0.38749982000000005
47.0625,-85.729164,0.0018700063,0.38700063
47.0625,-85.6875,0.0018649995,0.38649995000000004
47.0625,-85.64583,0.0018550009,0.38550009
47.0625,-85.604164,0.0019000024,0.39000024
47.0625,-85.5625,0.0019250065,0.39250065
